S.No,Name,CMP (Rs.),P/E,Mar Cap (Rs. Cr.),Div Yld (%),NP Qtr (Rs. Cr.),Qtr Profit Var (%),Sales Qtr (Rs. Cr.),Qtr Sales Var (%),ROCE (%)
374.,Aadhar Hsg. Fin.,428.65,22.14,18461.06,0.00,227.51,15.31,764.27,21.59,11.36
375.,Reliance Power,45.95,,18458.01,0.00,2878.15,17.87,1759.81,-13.64,1.43
376.,Elgi Equipments,581.50,56.23,18428.29,0.34,94.72,3.76,868.86,7.78,22.28
377.,Jindal Saw,285.55,9.70,18261.18,0.70,475.31,33.60,5571.92,1.93,21.38
378.,Action Const.Eq.,1526.00,49.70,18172.09,0.13,94.82,28.25,756.69,12.40,42.30
379.,Kajaria Ceramics,1138.55,47.64,18133.96,1.05,85.54,-21.94,1179.27,5.14,21.15
380.,Zensar Tech.,793.45,27.80,18009.14,1.10,155.70,-10.47,1308.00,5.42,25.15
381.,LMW,16851.30,89.90,18002.26,0.43,24.46,-78.75,768.99,-41.76,18.08
382.,Asahi India Glas,738.25,58.38,17946.90,0.28,94.54,9.46,1157.68,3.41,14.97
383.,IIFL Finance,422.55,11.80,17936.35,0.92,-93.07,-22.94,2571.90,3.78,11.81
384.,Karur Vysya Bank,222.45,9.98,17904.49,1.07,473.60,25.14,2384.00,19.37,6.89
385.,DCM Shriram,1146.75,34.27,17882.69,0.59,62.92,95.16,2957.33,9.21,8.99
386.,Astrazeneca Phar,7122.00,138.31,17805.03,0.34,38.43,-5.60,408.00,31.16,31.13
387.,Neuland Labs.,13843.80,67.23,17761.47,0.10,32.84,-63.20,310.84,-25.59,33.26
388.,Finolex Cables,1158.90,32.69,17724.19,0.68,146.09,-11.67,1311.72,10.47,18.68
389.,ERIS Lifescience,1300.75,51.00,17706.99,0.00,96.35,-25.12,741.17,46.68,11.27
390.,Sonata Software,628.05,44.57,17612.13,1.25,106.49,-14.24,2169.83,13.45,35.51
391.,PCBL Ltd,466.10,35.17,17593.53,1.17,123.45,0.60,2163.20,45.50,14.16
392.,UTI AMC,1364.10,20.73,17449.33,1.73,263.08,30.83,538.40,33.25,22.60
393.,Trident,34.14,54.07,17398.02,1.05,83.32,-7.78,1712.94,-4.71,10.43
394.,NCC,277.05,20.39,17394.42,0.78,174.79,110.71,5195.98,10.09,22.10
395.,HBL Engineering,626.85,50.19,17376.01,0.08,87.07,26.92,520.96,-6.40,35.94
396.,Jubilant Pharmo,1088.60,60.93,17341.39,0.46,102.50,81.29,1752.30,4.28,6.74
397.,National High,132.00,68.41,17321.05,,74.50,-0.69,566.77,140.25,2.82
398.,BEML Ltd,4151.85,60.54,17290.16,0.49,51.03,-1.47,859.84,-6.21,15.25
399.,Brookfield India,282.37,204.91,17161.10,,25.23,1187.24,590.20,47.66,4.80
400.,Ventive Hospital,733.25,103.78,17124.38,0.00,,,,,34.46
401.,eClerx Services,3490.15,32.85,17110.61,0.03,139.50,2.60,831.84,15.25,31.76
402.,Cello World,771.40,50.52,17039.11,0.20,86.78,2.06,490.06,0.22,36.28
403.,Sarda Energy,482.10,28.38,16988.27,0.21,203.49,38.93,1158.66,15.71,15.28
404.,Gravita India,2299.25,63.23,16970.40,0.22,71.92,24.30,927.42,10.91,27.86
405.,Doms Industries,2780.05,90.83,16871.34,0.09,53.68,42.54,457.77,19.71,30.67
406.,Ramkrishna Forg.,923.25,45.41,16705.25,0.22,189.77,36.54,1053.63,17.23,18.71
407.,Navin Fluo.Intl.,3347.90,76.65,16604.13,0.36,58.82,-2.91,518.56,9.91,10.43
408.,Kirl. Brothers,2090.15,42.16,16597.68,0.28,96.70,89.74,1035.80,13.44,27.30
409.,Jai Balaji Inds.,908.00,19.02,16567.20,0.00,153.16,-24.01,1556.57,0.64,62.33
410.,Anand Rathi Wea.,3950.05,62.71,16542.92,0.36,76.31,32.39,242.48,32.81,50.74
411.,HFCL,114.65,44.04,16540.25,0.17,73.33,5.63,1093.61,-1.61,13.26
412.,Blue Dart Expres,6885.10,57.78,16338.35,0.35,62.84,-13.99,1448.46,9.36,19.22
413.,EID Parry,912.15,22.05,16198.59,0.44,591.66,-32.42,9330.35,2.99,20.29
414.,IFCI,61.65,111.13,16112.71,0.00,184.89,-13.51,617.14,1.70,10.24
415.,Sai Life,774.60,194.57,16110.87,0.00,28.01,,675.29,5.13,10.57
416.,R R Kabel,1424.50,61.25,16106.60,0.42,49.75,-32.72,1810.14,12.45,21.71
417.,Cube Highways,120.60,197.71,16093.45,,-26.03,-28.99,1682.01,11.39,0.72
418.,Netweb Technol.,2855.00,166.16,16092.75,0.07,25.72,69.88,251.06,73.17,38.43
419.,Manappuram Fin.,189.10,7.07,16006.06,1.85,572.08,2.20,2633.10,21.86,13.75
420.,Clean Science,1505.25,62.12,15995.68,0.33,58.75,12.57,238.13,31.48,29.57
421.,Akzo Nobel,3512.30,36.74,15995.12,2.13,97.90,3.93,982.30,2.72,42.29
422.,Welspun Living,164.10,22.89,15947.34,0.06,202.40,2.18,2873.09,14.51,16.10
423.,Indian Energy Ex,178.40,41.50,15907.74,1.38,106.08,28.01,139.24,28.30,50.01
424.,Rainbow Child.,1557.50,68.35,15816.67,0.19,79.01,25.37,417.46,25.48,19.08
425.,Redington,202.30,13.57,15815.25,3.06,282.88,-6.78,24895.56,12.04,19.46
426.,Relaxo Footwear,634.30,87.14,15790.14,0.47,36.73,-16.88,679.37,-5.03,13.86
427.,Capri Global,191.05,48.77,15763.81,0.08,96.98,48.65,751.64,34.89,9.50
428.,Tata Tele. Mah.,79.47,,15535.86,0.00,-330.39,-6.50,343.50,19.76,47.91
429.,Finolex Inds.,249.95,32.28,15508.87,1.00,51.44,-45.15,828.43,-6.20,10.42
430.,Praj Industries,837.90,55.38,15401.72,0.70,53.83,-13.69,816.19,-7.50,29.29
431.,Bombay Burmah,2205.90,12.49,15390.96,0.05,515.67,90.99,4760.84,5.24,28.31
432.,Birlasoft Ltd,553.20,24.69,15301.61,1.14,127.51,-12.11,1368.22,4.45,29.76
433.,Niva Bupa Health,83.65,186.75,15283.06,0.00,13.02,271.54,1321.28,36.35,4.85
434.,Kirloskar Oil,1051.00,29.54,15253.77,0.58,124.92,52.64,1500.32,14.98,14.97
435.,Aarti Industries,420.65,34.37,15249.46,0.24,52.00,-45.05,1628.00,11.97,7.47
436.,Deepak Fertiliz.,1201.85,22.36,15171.88,0.69,214.07,249.39,2746.72,13.31,10.72
437.,Titagarh Rail,1121.60,49.65,15104.99,0.07,80.69,15.01,1056.95,12.99,24.97
438.,L T Foods,432.05,25.02,15003.09,0.35,150.61,-4.86,2107.79,6.57,21.09
439.,CreditAcc. Gram.,934.95,11.17,14919.17,1.07,186.06,-46.72,1453.29,16.55,14.76
440.,Aptus Value Hou.,297.10,22.01,14849.54,1.50,181.97,22.94,421.39,26.32,14.68
441.,Jyothy Labs,403.05,39.44,14800.39,0.86,105.02,0.97,733.76,0.19,26.99
442.,Shakti Pumps,1229.90,45.03,14784.69,0.06,101.42,1636.64,634.59,315.36,31.40
443.,Vardhman Textile,509.95,18.52,14746.47,0.78,197.30,46.57,2502.42,4.38,8.73
444.,Granules India,607.50,30.24,14731.50,0.25,97.23,-4.79,966.62,-18.74,15.40
445.,Sobha,1548.70,270.72,14688.78,0.19,26.09,74.52,933.59,25.95,7.12
446.,Godrej Agrovet,757.60,39.63,14565.72,1.33,95.79,-7.83,2448.75,-4.75,13.71
447.,Waaree Renewab.,1396.00,73.14,14552.81,0.07,53.58,159.84,524.42,249.64,107.10
448.,ACME Solar Hold.,240.45,118.33,14549.33,0.00,15.30,-19.09,259.59,-19.71,8.41
449.,Indegene,596.05,38.43,14261.63,0.00,91.70,22.27,686.80,8.04,29.02
450.,Nava,981.95,13.41,14248.14,0.39,331.97,68.70,900.48,-2.33,16.27
451.,Elecon Engg.Co,634.10,40.10,14229.26,0.24,87.72,-0.96,508.14,4.79,31.32
452.,Rites,295.95,35.72,14223.45,3.98,82.50,-27.85,540.86,-7.13,25.36
453.,GE Shipping Co,985.55,4.92,14070.37,2.94,575.57,-3.21,1354.40,10.20,18.51
454.,G R Infraproject,1453.75,15.27,14063.64,0.00,193.57,-16.22,1394.33,-25.94,16.89
455.,Godawari Power,210.05,15.75,14051.83,0.48,159.39,-38.21,1267.57,-1.82,29.19
456.,Sanofi India,6100.00,33.32,14048.29,2.76,82.20,1.99,524.00,6.79,71.10
457.,Data Pattern,2495.90,75.48,13973.03,0.26,30.28,-10.39,91.02,-15.96,19.71
458.,Fine Organic,4518.25,35.81,13852.91,0.22,113.11,42.51,595.47,26.23,29.04
459.,Jubilant Ingrev.,854.45,77.55,13609.78,0.60,59.00,2.63,1045.24,2.48,9.97
460.,Marksans Pharma,298.65,39.11,13533.69,0.20,97.76,15.80,641.92,20.83,20.61
461.,Indiamart Inter.,2253.35,31.37,13527.39,0.87,135.10,94.67,347.70,17.98,23.93
462.,Railtel Corpn.,421.35,48.08,13522.74,0.68,72.64,8.14,843.49,40.78,20.25
463.,Intellect Design,974.00,47.58,13503.71,0.37,52.48,-25.50,558.13,-9.84,20.32
464.,AAVAS Financiers,1703.00,25.34,13478.25,0.00,147.91,21.52,579.16,16.61,9.91
465.,KSB,768.85,58.33,13380.99,0.45,61.70,23.15,616.50,9.37,23.29
466.,Ingersoll-Rand,4151.05,54.31,13104.01,1.67,60.35,21.40,322.10,16.57,51.35
467.,Mahanagar Gas,1315.45,11.42,12993.73,2.25,282.80,-16.45,1711.62,8.96,36.60
468.,Safari Inds.,2657.90,81.12,12993.41,0.11,29.66,-25.40,457.79,23.72,31.02
469.,City Union Bank,174.95,12.26,12963.55,0.85,285.18,1.63,1433.95,9.96,6.57
470.,CEAT,3196.75,21.88,12930.91,0.94,121.45,-41.52,3304.53,8.23,20.42
471.,PVR Inox,1307.90,,12843.62,0.00,-12.10,-107.10,1622.10,-18.89,4.69
472.,NMDC Steel,43.43,,12727.58,0.00,-595.37,-354.13,1522.35,448.77,-8.69
473.,Reliance Infra.,321.00,,12715.80,0.00,4194.63,389.06,7258.49,1.48,7.38
474.,Craftsman Auto,5329.10,50.81,12712.87,0.21,61.69,-34.75,1213.95,2.96,19.99
475.,Lemon Tree Hotel,160.25,83.68,12695.80,0.00,35.04,30.86,284.37,25.16,11.36
476.,Glenmark Life,1035.90,29.99,12693.16,2.19,95.32,-19.72,506.88,-14.86,28.11
477.,Zydus Wellness,1985.00,40.22,12630.97,0.25,20.90,166.10,492.90,12.05,5.33
478.,Nuvoco Vistas,353.40,257.32,12621.86,0.00,-85.17,-5666.67,2268.58,-11.83,5.42
479.,Raymond Lifestyl,2063.70,25.66,12572.85,0.00,42.18,-34.70,1708.26,-5.27,
480.,JM Financial,131.10,20.39,12530.07,1.50,144.20,-26.03,1190.51,-0.57,10.13
481.,Bharat Global,68.69,791.42,12520.24,0.00,10.11,,216.35,,8.55
482.,Westlife Food,799.25,576.74,12463.21,0.44,0.36,-98.39,618.01,0.53,11.47
483.,Supreme Petroch.,659.80,30.15,12406.94,1.37,90.34,15.73,1505.56,17.84,22.46
484.,Genus Power,407.45,84.86,12380.65,0.15,83.08,68.90,486.88,88.01,11.34
485.,Olectra Greentec,1492.55,109.13,12250.92,0.03,47.65,163.34,523.67,70.49,14.79
486.,Allied Blenders,437.15,199.07,12227.61,0.00,48.45,314.10,867.67,1.94,15.76
487.,Minda Corp,510.55,46.63,12206.21,0.27,74.34,26.49,1290.01,7.87,15.20
488.,JP Power Ven.,17.80,7.44,12199.19,0.00,182.66,53.26,1226.41,-9.14,13.97
489.,Zee Entertainmen,126.65,28.39,12165.01,0.80,209.40,13.77,2000.70,-17.93,6.26
490.,Inox Wind Energy,10034.60,211.40,12089.24,0.00,84.45,158.74,733.01,97.36,4.15
491.,Sammaan Capital,162.60,,12042.90,1.18,-2760.72,-1026.48,2422.49,8.77,10.08
492.,India Grid Trust,144.10,32.08,12025.98,5.21,98.73,165.57,835.78,16.70,7.08
493.,Aether Industri.,903.95,118.06,11984.81,0.00,38.07,7.20,196.45,19.66,7.82
494.,Redtape,866.95,76.07,11981.41,0.23,25.07,-9.63,415.80,28.05,29.27
495.,Garware Hi Tech,5135.00,38.95,11929.82,0.19,104.26,127.10,620.58,56.27,13.96
496.,Edelweiss.Fin.,125.20,25.54,11831.56,1.19,137.02,45.13,2831.74,31.36,11.50
497.,Raymond,1767.40,27.39,11766.22,0.54,59.01,1.12,1044.74,122.25,30.93
498.,India Cements,377.35,,11693.92,0.00,-338.72,-59.03,1031.80,-18.40,-0.78
499.,Vijaya Diagnost.,1136.70,87.05,11665.93,0.10,42.13,25.87,182.95,31.75,19.51
500.,Eureka Forbes,600.95,89.20,11621.85,0.00,46.67,74.72,672.87,13.60,3.46
