S.No,Name,CMP (Rs.),P/E,Mar Cap (Rs. Cr.),Div Yld (%),NP Qtr (Rs. Cr.),Qtr Profit Var (%),Sales Qtr (Rs. Cr.),Qtr Sales Var (%),ROCE (%)
74.,Cipla,1514.15,26.47,122284.85,0.84,1305.01,15.18,7051.02,5.58,22.80
75.,Mankind Pharma,2951.35,60.87,121762.91,0.00,634.43,34.84,2529.74,11.91,24.57
76.,Swiggy,541.55,,121223.11,0.00,-625.53,5.07,3601.45,30.33,-24.39
77.,TVS Motor Co.,2490.40,62.71,118318.82,0.32,588.13,45.08,11301.68,13.78,14.68
78.,Britannia Inds.,4851.05,54.32,116846.42,1.54,531.55,-9.37,4667.57,5.29,48.92
79.,Info Edg.(India),8972.35,240.46,116267.44,0.25,84.74,-91.06,700.82,11.98,3.65
80.,Torrent Pharma.,3407.50,66.23,115320.08,0.81,453.00,17.36,2889.00,8.61,23.16
81.,Shriram Finance,3059.55,14.58,115056.99,1.44,2153.27,17.99,10089.54,17.93,11.27
82.,Max Healthcare,1183.00,108.60,115003.18,0.13,281.81,1.85,1707.46,25.26,16.00
83.,Godrej Consumer,1118.20,63.32,114392.66,1.36,491.31,12.18,3666.33,1.79,19.02
84.,CG Power & Ind,740.80,126.55,113236.08,0.17,219.63,-1.77,2412.69,20.54,46.63
85.,Dr Reddy's Labs,1356.95,21.22,113227.18,0.58,1341.90,-15.28,8038.20,16.45,26.53
86.,Samvardh. Mothe.,160.40,29.80,112862.22,0.49,948.81,218.76,27811.86,18.48,13.68
87.,Cholaman.Inv.&Fn,1325.05,28.99,111407.71,0.16,967.80,25.22,6255.12,35.32,10.41
88.,JSW Energy,635.85,57.02,111131.84,0.30,876.76,0.36,3237.66,-0.67,8.59
89.,Dixon Technolog.,18446.45,197.67,110810.08,0.03,411.70,119.30,11534.08,133.33,29.16
90.,Polycab India,7242.55,60.65,108942.18,0.41,445.21,3.35,5498.42,30.37,31.33
91.,Oracle Fin.Serv.,12519.50,43.53,108693.34,1.87,577.70,38.39,1673.90,15.88,39.54
92.,NTPC Green,128.55,314.30,108320.48,0.00,175.30,,1082.29,7.34,7.60
93.,Lupin,2369.60,41.26,108109.38,0.33,859.48,74.12,5672.73,12.59,15.72
94.,Havells India,1700.40,75.54,106605.20,0.52,267.77,7.50,4539.31,16.38,24.40
95.,Apollo Hospitals,7325.75,89.05,105333.00,0.22,395.70,63.46,5589.30,15.32,15.11
96.,Bajaj Housing,126.40,60.77,105267.79,0.00,545.60,20.95,2410.15,26.09,9.42
97.,PB Fintech.,2225.50,589.78,102199.66,0.00,50.98,350.35,1167.23,43.81,1.75
98.,Bosch,34388.55,50.65,101424.34,1.07,535.90,23.94,4394.30,6.40,20.61
99.,I O B,53.29,34.23,100730.94,0.00,777.16,24.43,6850.67,17.69,5.41
100.,Persistent Sys,6398.80,80.87,99725.21,0.40,325.00,23.45,2897.15,20.13,29.17
101.,Adani Energy Sol,821.10,66.54,98637.23,0.00,773.39,144.66,6183.70,68.32,9.00
102.,Zydus Lifesci.,978.00,23.00,98409.68,0.29,920.20,13.62,5237.00,19.87,22.34
103.,Jindal Steel,957.80,19.31,97704.07,0.21,860.47,-38.00,11213.31,-8.46,13.16
104.,ICICI Pru Life,673.80,111.17,97378.23,0.09,250.99,2.92,25158.31,44.69,8.75
105.,Union Bank (I),124.50,6.28,95038.41,2.88,4750.93,33.01,26886.58,8.71,6.55
106.,Shree Cement,26035.20,54.22,93936.94,0.39,76.64,-82.88,4054.17,-15.07,14.76
107.,Dabur India,527.75,53.24,93533.87,1.08,417.52,-17.66,3028.59,-5.47,22.28
108.,Indus Towers,345.50,12.27,93110.05,0.00,2223.50,71.74,7465.30,4.67,22.08
109.,Tata Consumer,940.15,68.00,93024.03,0.83,367.21,11.20,4214.45,12.87,10.65
110.,Canara Bank,101.55,5.77,92112.52,3.14,4226.75,10.27,30181.85,10.60,6.63
111.,ICICI Lombard,1840.00,40.96,91123.12,0.33,693.95,20.21,6147.30,16.63,22.52
112.,Mazagon Dock,2243.10,35.16,90482.26,0.60,585.08,75.76,2756.83,50.84,44.19
113.,HDFC AMC,4230.00,40.85,90419.15,1.63,576.88,31.84,887.21,37.96,37.72
114.,Rail Vikas,432.75,70.48,90229.42,0.49,302.51,-18.26,4869.22,-0.83,18.70
115.,Muthoot Finance,2244.85,20.45,90122.62,1.07,1251.14,26.25,4117.44,34.57,13.15
116.,Cummins India,3213.80,47.20,89086.52,1.14,450.61,37.17,2492.31,31.20,35.23
117.,Solar Industries,9766.55,87.51,88377.54,0.09,303.78,42.84,1715.83,27.34,32.47
118.,H P C L,414.50,21.02,88198.22,5.02,142.67,-97.55,99977.12,4.41,21.26
119.,Marico,662.55,54.09,85816.71,1.43,433.00,19.83,2664.00,7.59,43.08
120.,Hero Motocorp,4246.00,20.66,84919.80,2.72,1066.47,5.70,10482.93,9.96,29.09
121.,Suzlon Energy,62.07,85.24,84024.86,0.00,200.60,45.89,2103.38,47.98,24.93
122.,IDBI Bank,77.70,12.33,83546.15,1.95,1869.27,34.31,7445.01,23.30,6.23
123.,GMR Airports,78.97,,83384.19,0.00,-428.77,-318.52,2495.46,20.93,6.41
124.,NHPC Ltd,82.90,28.00,83273.29,2.31,1069.28,-41.20,3051.93,4.12,7.67
125.,Godrej Propert.,2747.45,59.67,82748.67,0.00,333.79,399.69,1093.23,218.73,5.74
126.,Oberoi Realty,2257.75,35.31,82092.29,0.35,589.44,29.05,1319.89,8.42,15.24
127.,Waaree Energies,2835.90,82.40,81470.66,0.00,375.66,14.78,3574.38,1.05,43.63
128.,Adani Total Gas,732.40,114.69,80550.14,0.03,185.60,7.48,1218.65,11.23,21.20
129.,B H E L,230.65,180.65,80313.81,0.11,106.15,268.47,6584.10,28.46,3.37
130.,General Insuranc,456.85,11.05,80149.77,2.13,1855.71,9.87,12377.97,-5.33,15.78
131.,Kalyan Jewellers,774.45,127.74,79879.50,0.15,130.33,-3.37,6065.48,37.40,14.04
132.,Oil India,482.90,9.29,78548.91,2.16,2069.16,37.27,7247.03,-3.33,17.67
133.,IndusInd Bank,1000.10,9.56,77912.96,1.68,1325.45,-39.24,12686.28,12.79,7.93
134.,Aurobindo Pharma,1322.05,21.34,77464.00,0.33,816.95,8.65,7796.07,7.99,14.10
135.,Colgate-Palmoliv,2828.00,52.36,76917.56,1.72,395.05,16.17,1619.11,10.06,96.80
136.,Torrent Power,1515.50,34.02,76366.57,1.06,495.72,-8.53,7175.81,3.09,14.77
137.,Lloyds Metals,1453.35,51.83,75982.77,0.07,301.44,30.35,1364.43,25.03,78.27
138.,Bharti Hexacom,1498.35,79.79,74917.50,0.27,253.10,194.62,2097.60,20.66,13.98
139.,BSE,5382.50,88.54,72866.31,0.27,345.77,192.01,813.30,124.66,19.97
140.,Prestige Estates,1667.75,105.44,71834.96,0.11,234.60,-77.41,2304.40,3.04,14.86
141.,Indian Bank,525.20,7.13,70742.55,2.26,2800.81,35.35,15369.01,11.66,5.92
142.,Tube Investments,3609.45,86.95,69832.92,0.10,299.17,-21.66,4924.55,14.37,26.28
143.,JSW Infrast,330.60,55.84,69426.05,0.17,373.73,46.03,1001.36,18.04,16.41
144.,SBI Cards,728.15,31.39,69272.80,0.36,404.42,-32.93,4421.04,8.16,12.54
145.,Ashok Leyland,234.35,26.58,68817.55,2.13,766.55,15.40,11147.58,-2.46,15.01
146.,SRF,2278.75,59.86,67547.83,0.31,201.42,-33.03,3424.30,7.77,12.71
147.,Patanjali Foods,1837.35,66.83,66511.09,0.45,308.97,21.38,8154.19,4.25,11.14
148.,Alkem Lab,5500.00,30.29,65760.74,0.72,701.96,4.59,3414.67,-0.74,19.68
149.,Coforge,9664.85,82.02,64618.62,0.78,233.60,11.71,3062.30,34.54,28.60
150.,Hitachi Energy,15160.15,322.34,64251.24,0.03,52.29,111.36,1553.74,26.53,17.85
151.,I R C T C,797.35,52.95,63788.00,0.81,307.82,4.46,1064.00,7.21,53.77
152.,F A C T,977.85,597.51,63273.96,0.10,11.18,-90.37,1448.63,-12.90,16.94
153.,Abbott India,29604.70,49.00,62909.99,1.38,358.61,14.59,1632.67,9.27,46.02
154.,One 97,985.10,,62788.54,0.00,930.00,-42.26,1659.50,-34.11,-8.50
155.,Yes Bank,19.98,34.99,62637.08,0.00,566.59,147.81,7737.20,15.24,5.81
156.,Bharat Forge,1300.20,62.59,62161.10,0.68,243.30,12.57,3688.51,-2.27,12.90
157.,Indian Renewable,230.85,42.91,62046.95,0.00,387.75,36.18,1629.55,38.49,9.30
158.,Uno Minda,1064.05,67.73,61093.90,0.19,266.16,6.33,4244.79,17.22,19.94
159.,Voltas,1828.10,109.95,60489.04,0.30,132.83,272.59,2619.11,14.23,8.51
160.,Premier Energies,1331.90,259.96,60038.61,0.00,205.95,289.61,1527.22,120.16,25.23
161.,NMDC,67.90,9.52,59696.44,3.61,1205.30,17.47,4918.91,22.54,30.91
162.,Supreme Inds.,4608.85,53.63,58544.75,0.65,206.60,-15.05,2272.95,-1.55,28.56
163.,Motil.Oswal.Fin.,974.90,17.25,58423.56,0.36,1121.80,110.86,2837.83,71.49,20.69
164.,Vodafone Idea,8.31,,57920.55,0.00,-7175.90,17.88,10932.20,2.01,-3.61
165.,Coromandel Inter,1959.20,42.54,57722.35,0.32,659.10,-12.65,7432.83,6.36,25.98
166.,Phoenix Mills,1582.00,53.55,56556.91,0.16,292.16,-13.66,917.97,4.91,12.44
167.,United Breweries,2127.75,119.11,56258.79,0.46,132.33,23.33,2116.72,11.99,13.49
168.,Jindal Stain.,681.90,22.94,56172.85,0.43,609.42,-11.23,9776.83,-0.21,22.23
169.,P I Industries,3658.85,31.26,55511.33,0.40,508.20,5.76,2221.00,4.92,24.00
170.,Fortis Health.,730.60,80.17,55157.24,0.14,193.08,26.85,1988.39,12.34,10.34
171.,Balkrishna Inds,2838.50,33.74,54873.11,0.55,346.94,-0.14,2419.74,7.39,17.62
172.,Mphasis,2870.90,34.11,54448.61,1.93,423.33,8.01,3536.15,7.92,23.95
173.,Schaeffler India,3468.55,57.10,54214.71,0.75,247.13,5.16,2072.83,12.15,26.72
174.,Linde India,6350.00,123.81,54152.82,0.06,104.39,-2.17,634.42,-10.81,17.36
175.,MRF,127153.95,27.70,53927.82,0.15,470.70,-19.77,6881.09,10.68,16.12
176.,UCO Bank,44.99,24.68,53789.83,0.63,602.74,50.06,6078.36,16.47,5.34
177.,Berger Paints,458.95,46.63,53505.75,0.77,269.90,-7.54,2774.61,0.26,27.51
178.,Page Industries,47850.00,85.96,53371.30,1.16,195.26,29.93,1246.27,10.77,45.02
179.,Sundaram Finance,4731.50,32.86,52568.76,0.63,436.15,19.36,2084.67,22.04,9.21
180.,GE Vernova T&D,2049.45,132.94,52476.16,0.10,144.62,289.08,1107.77,58.76,23.14
181.,L&T Technology,4809.00,40.49,50914.40,1.02,293.00,-4.99,2324.80,8.83,33.40
182.,360 ONE,1300.55,51.23,50497.35,1.26,245.49,32.05,862.76,56.87,14.47
183.,Vishal Mega Mart,111.90,111.26,50452.60,0.00,254.14,,5032.51,19.27,11.36
184.,Federal Bank,205.50,12.13,50439.85,0.59,1114.80,10.28,7005.66,20.97,6.93
185.,Jubilant Food.,760.40,205.81,50174.64,0.16,66.53,-29.16,1954.72,42.82,11.20
186.,Tata Comm,1744.80,60.80,49726.81,0.96,227.27,-2.32,5767.35,18.37,17.55
187.,Petronet LNG,330.25,12.61,49537.50,2.99,847.62,3.61,13021.82,3.91,26.41
188.,Thermax,4140.70,77.81,49339.03,0.29,198.00,24.92,2611.59,13.43,16.93
189.,H U D C O,246.00,19.94,49246.70,1.72,688.62,52.47,2517.72,35.01,9.23
190.,Kaynes Tech,7605.60,261.07,48684.05,0.00,62.57,146.24,432.84,48.46,11.22
191.,Blue Star,2347.50,91.97,48268.06,0.30,96.06,35.93,2275.96,20.40,25.51
192.,Aditya Birla Cap,184.95,13.04,48207.38,0.00,1020.68,43.00,10322.01,35.69,9.95
193.,Nippon Life Ind.,759.55,36.46,48135.46,2.14,360.10,47.33,571.30,43.73,36.24
194.,FSN E-Commerce,167.65,1119.97,47931.15,0.00,12.97,71.62,1874.74,24.40,6.87
195.,Central Bank,55.21,14.04,47927.44,0.00,925.97,48.54,8235.34,11.64,5.29
196.,Container Corpn.,784.05,36.86,47771.69,1.44,366.26,6.28,2287.75,4.23,13.93
197.,Bank of India,104.65,6.08,47643.68,2.66,2421.75,61.58,17465.81,15.96,5.69
198.,P & G Hygiene,14671.95,70.40,47626.23,1.33,211.90,0.57,1135.16,-0.28,112.44
199.,S A I L,114.55,15.00,47315.14,1.73,897.15,-44.34,24675.20,-16.95,8.10
200.,IDFC First Bank,64.48,20.35,47199.65,0.00,211.94,-71.62,8957.02,21.76,6.93
201.,Glenmark Pharma.,1638.60,,46239.34,0.15,354.48,297.23,3433.80,7.06,12.34
202.,Altius Telecom,150.00,43.95,45711.00,,210.40,11.97,4022.50,24.93,7.27
203.,Gujarat Fluoroch,4131.00,110.67,45379.09,0.07,121.00,128.30,1188.00,25.45,9.76
204.,CRISIL,6165.00,67.36,45084.52,0.87,171.55,12.87,811.84,10.32,41.36
205.,APL Apollo Tubes,1612.50,76.80,44750.79,0.35,53.81,-73.48,4773.91,3.10,25.18
206.,Biocon,370.50,30.80,44482.29,0.13,27.10,-85.63,3590.40,3.70,5.96
207.,Apar Inds.,11010.85,52.01,44228.69,0.50,193.38,11.21,4644.51,18.32,43.96
208.,Ipca Labs.,1732.60,70.58,43956.75,0.22,245.75,43.14,2354.90,15.78,12.77
209.,ITI,457.25,,43936.60,0.00,-70.11,44.99,1016.20,312.30,-8.43
210.,Astral,1626.80,83.50,43701.38,0.23,108.70,-17.15,1370.40,0.54,23.16
211.,SJVN,109.45,46.53,43011.55,1.64,439.90,0.06,1026.25,16.84,4.99
212.,AU Small Finance,575.45,22.81,42826.89,0.18,571.21,42.15,3910.61,54.51,7.71
213.,Adani Wilmar,328.40,40.54,42681.48,0.00,325.73,954.26,13994.39,19.41,10.41
214.,Bank of Maha,55.36,8.69,42580.40,2.57,1332.77,44.89,6017.41,18.73,5.38
215.,Bharat Dynamics,1153.90,76.41,42297.58,0.46,122.53,-16.70,544.77,-11.54,24.23
216.,Cochin Shipyard,1604.95,47.60,42223.14,0.60,193.07,1.08,1096.98,14.96,21.62
217.,UPL,531.00,,42160.53,0.20,-585.00,-152.09,11090.00,9.05,3.29
218.,KEI Industries,4397.15,67.28,42015.89,0.08,154.81,10.41,2279.65,17.21,27.21
219.,Tata Elxsi,6642.05,50.65,41368.89,1.06,229.43,14.70,955.09,8.32,42.74
220.,KPIT Technologi.,1453.85,54.92,39856.41,0.45,203.75,45.30,1471.41,22.70,38.36
221.,Godrej Industrie,1157.20,56.38,38968.97,0.00,488.86,229.46,4804.96,22.03,5.59
222.,ACC,2059.85,20.85,38681.32,0.35,199.70,-42.45,4613.52,4.03,17.27
223.,Max Financial,1115.00,111.68,38480.33,0.00,139.34,-23.89,13372.39,31.56,9.77
224.,Natl. Aluminium,209.50,13.42,38477.37,2.31,1062.18,414.97,4001.48,31.48,16.95
225.,Honeywell Auto,43207.45,72.38,38195.42,0.24,115.10,-5.58,1023.90,-7.27,19.85
226.,Glaxosmi. Pharma,2241.35,47.31,37969.80,1.46,252.50,14.55,1010.77,5.62,51.33
227.,C D S L,1810.60,71.03,37841.55,0.53,161.96,48.79,322.26,55.45,40.18
228.,Escorts Kubota,3379.20,32.55,37805.68,0.55,324.22,54.02,2488.49,0.44,16.08
229.,Sona BLW Precis.,588.25,63.63,36556.23,0.51,143.58,18.35,922.19,17.11,24.02
230.,Ola Electric,82.77,,36508.47,0.00,-495.00,5.53,1214.00,39.06,-32.13
231.,J K Cements,4724.15,50.30,36502.67,0.31,136.15,-75.62,2560.12,-7.00,15.80
232.,IRB Infra.Devl.,60.37,59.18,36457.44,0.48,99.87,4.30,1585.84,-9.12,8.96
233.,Tata Technolog.,896.70,56.26,36376.26,0.93,157.41,-1.85,1296.45,2.15,28.29
234.,Exide Inds.,425.65,43.28,36180.25,0.47,233.40,-14.15,4450.00,1.80,10.15
235.,Ajanta Pharma,2884.10,41.12,36025.89,1.25,216.48,10.84,1186.64,15.38,31.60
236.,L&T Finance Ltd,143.00,13.91,35668.05,1.71,696.68,17.06,4019.34,25.06,8.22
237.,Gujarat Gas,515.95,29.04,35517.51,1.10,306.93,3.07,3781.75,-1.66,20.51
238.,K P R Mill Ltd,1032.95,43.61,35307.62,0.50,205.00,1.57,1480.02,-2.05,20.62
239.,Embassy Off.REIT,371.05,15.82,35171.62,3.05,1530.36,606.31,1025.81,10.76,5.41
240.,Metro Brands,1276.75,83.79,34735.61,0.40,71.77,4.29,585.45,5.35,19.66
241.,Radico Khaitan,2595.25,120.11,34721.29,0.12,82.19,32.82,1116.30,20.68,13.16
242.,Tata Inv.Corpn.,6860.80,94.23,34712.42,0.41,123.69,0.15,142.48,15.03,1.67
243.,Syngene Intl.,858.90,74.96,34573.90,0.14,106.10,-13.19,891.00,-2.10,14.74
244.,3M India,30675.05,61.07,34570.78,0.52,133.78,-8.44,1110.80,6.86,33.04
245.,M & M Fin. Serv.,278.20,15.80,34374.04,2.34,390.03,38.54,4465.15,16.48,8.74
246.,Dalmia BharatLtd,1818.00,40.26,34099.32,0.49,49.00,-61.33,3087.00,-2.09,6.71
247.,Piramal Pharma,255.75,586.39,33906.00,0.04,22.59,350.00,2241.75,17.28,5.49
248.,New India Assura,205.15,24.88,33808.72,1.00,90.62,151.15,10785.91,2.08,0.56
249.,NLC India,243.40,18.38,33750.76,1.22,982.41,-15.94,3657.27,22.83,6.54
250.,Brainbees Solut.,649.05,,33697.61,0.00,-62.86,50.76,1904.92,26.41,-4.00
251.,LIC Housing Fin.,611.50,6.83,33636.34,1.47,1327.79,11.41,6937.72,2.55,8.79
252.,Deepak Nitrite,2456.35,42.15,33502.89,0.30,194.20,-5.31,2032.00,14.28,21.65
253.,Pun. & Sind Bank,49.43,49.65,33502.55,0.42,239.59,26.71,2738.95,13.84,5.59
254.,Inventurus Knowl,1944.55,90.07,33363.28,0.00,208.58,,1282.88,103.35,30.01
255.,Authum Invest,1945.00,8.18,33034.89,0.00,843.72,7.11,1091.10,12.09,39.34
256.,Laurus Labs,612.00,252.83,32996.48,0.13,19.95,-46.31,1223.70,-0.06,6.60
257.,K E C Intl.,1228.00,77.55,32689.36,0.33,85.41,52.98,5113.31,13.65,16.05
258.,Apollo Tyres,514.55,21.57,32679.12,1.15,297.46,-37.58,6437.03,2.51,16.45
259.,Gillette India,9866.45,71.14,32154.74,0.46,133.01,43.50,781.82,17.12,58.91
260.,AIA Engineering,3390.00,30.27,31974.57,0.47,256.43,-20.63,1044.21,-19.35,22.71
261.,Multi Comm. Exc.,6200.00,91.06,31618.98,0.12,153.62,905.56,285.58,72.96,7.15
262.,Brigade Enterpr.,1294.35,69.09,31614.76,0.16,115.08,2.29,1072.16,-21.54,12.66
263.,Gland Pharma,1905.80,45.31,31398.50,1.06,163.53,-15.74,1405.83,2.36,13.58
264.,Jyoti CNC Auto.,1370.05,113.58,31158.13,0.00,75.88,352.74,430.67,42.47,21.22
265.,Indraprastha Gas,444.15,19.33,31090.53,2.05,431.09,-19.39,3697.29,6.90,28.76
266.,Endurance Tech.,2190.60,40.03,30813.65,0.41,202.98,31.33,2912.66,14.45,16.60
267.,Vedant Fashions,1256.85,75.81,30531.72,0.65,66.90,37.32,267.95,22.74,30.74
268.,Go Digit General,328.50,105.86,30295.37,0.00,89.47,223.11,2234.35,17.31,6.62
269.,Anant Raj,881.95,87.04,30152.99,0.08,105.65,75.67,512.85,54.34,8.56
270.,Aditya Bir. Fas.,280.20,,30014.94,0.00,-214.70,-14.91,3643.86,12.94,0.25
271.,Global Health,1093.80,60.20,29378.02,0.00,130.81,4.51,956.56,13.34,19.32
272.,J B Chemicals &,1882.40,47.92,29280.50,0.66,174.57,15.92,1000.62,13.48,24.55
273.,Chola Financial,1559.00,14.28,29274.54,0.04,1125.24,24.86,8090.16,28.06,10.72
274.,Himadri Special,592.05,60.59,29228.35,0.09,135.70,34.53,1136.92,13.18,18.81
275.,PG Electroplast,1018.10,150.32,28821.77,0.02,19.33,56.27,671.30,45.80,18.72
276.,Aegis Logistics,820.70,49.33,28806.60,0.78,152.02,-0.80,1750.42,41.75,14.74
277.,Firstsour.Solu.,403.95,53.32,28560.43,0.86,138.21,9.25,1925.38,25.03,15.42
278.,Star Health Insu,483.10,32.92,28390.82,0.00,111.29,-11.18,4058.37,17.25,17.69
279.,Poly Medicure,2788.85,95.86,28258.22,0.11,87.45,40.62,420.02,24.53,23.62
280.,Suven Pharma,1110.00,116.35,28256.70,0.00,81.98,3.04,257.72,11.54,18.78
281.,Emcure Pharma,1463.00,55.05,27713.86,0.00,201.55,37.65,2001.98,20.38,18.62
282.,ICICI Securities,839.95,13.30,27304.02,3.40,529.04,24.88,1706.65,36.64,19.74
283.,Sun TV Network,688.55,14.68,27134.70,2.40,409.32,-11.93,934.54,-10.86,26.20
284.,Sumitomo Chemi.,539.60,55.70,26933.93,0.17,190.84,32.82,971.35,7.51,20.83
285.,A B Real Estate,2410.15,172.41,26920.30,0.20,2.82,217.42,1127.56,30.67,8.31
286.,EIH,429.35,39.89,26850.02,0.28,132.70,41.08,588.99,11.01,23.62
287.,Narayana Hrudaya,1310.95,34.43,26790.71,0.31,198.80,-12.34,1400.01,7.26,26.54
288.,Emami,613.75,34.71,26790.24,1.31,210.99,18.20,890.59,2.97,31.72
289.,International Ge,618.35,82.29,26722.58,0.00,,,,,98.79
290.,Godfrey Phillips,5100.00,28.11,26516.89,1.11,248.31,22.89,1383.98,19.55,22.17
291.,Tata Chemicals,1027.75,42.72,26182.95,1.45,267.00,-45.66,3999.00,0.03,7.81
292.,M R P L,149.35,28.66,26175.06,1.96,-696.94,-166.27,24967.87,29.01,25.75
293.,Amber Enterp.,7723.20,140.59,26122.62,0.00,20.96,440.71,1684.70,81.73,10.18
294.,Motherson Wiring,59.04,39.55,26102.29,1.35,152.08,-2.44,2325.64,10.26,47.96
295.,Aster DM Health.,522.25,94.71,26087.11,0.38,105.76,83.10,1086.44,16.89,4.48
296.,Angel One,2869.90,19.66,25901.14,1.15,423.37,39.06,1514.71,44.55,38.70
297.,Bandhan Bank,158.20,9.11,25485.57,0.93,937.45,29.99,5499.81,22.44,7.06
298.,Delhivery,342.55,808.80,25444.90,0.00,10.20,109.91,2189.73,12.77,-1.73
299.,KFin Technolog.,1475.90,84.87,25360.86,0.38,89.32,45.52,280.47,34.22,30.26
300.,Bayer Crop Sci.,5635.15,43.68,25325.54,2.47,136.30,-38.85,1737.60,7.44,33.91
301.,Nuvama Wealth,7057.55,30.29,25319.72,2.03,257.31,77.50,1051.35,42.99,16.54
302.,Cams Services,5122.30,63.29,25286.67,0.89,115.22,41.58,341.90,34.09,49.77
303.,Krishna Institu.,630.50,76.19,25228.78,0.00,120.70,16.71,777.30,19.13,16.87
304.,Affle India,1785.85,73.11,25085.42,0.00,91.99,37.75,542.88,25.87,16.25
305.,NBCC,92.64,44.99,25012.80,0.45,125.14,-0.35,2458.73,19.44,31.99
306.,Carborundum Uni.,1306.80,62.44,24879.59,0.31,116.16,13.72,1224.12,6.79,20.13
307.,Poonawalla Fin,319.30,59.55,24841.25,0.62,-471.04,-242.18,988.87,33.88,10.80
308.,Wockhardt,1527.00,,24809.52,0.00,-16.00,78.08,809.00,7.44,-0.83
309.,CESC,187.05,17.55,24794.83,2.40,373.00,1.44,4700.00,8.00,11.60
310.,Piramal Enterp.,1099.35,,24787.89,0.90,162.97,166.38,2287.97,4.31,3.91
311.,Sagility India,52.84,108.64,24736.16,0.00,117.34,235.64,1325.05,21.11,4.71
312.,Triveni Turbine,776.65,78.34,24687.93,0.33,91.00,42.03,501.10,29.22,38.32
